011-MONGO-setup.csv,012-MONGO-multi-reads.csv,013-MONGO-single-bulk-read.csv,014-MONGO-multi-discount-update.csv,015-MONGO-search-discounted.csv,016-MONGO-teardown.csv
1.986933200,40.307667800,.370263800,39.712460000,3.674724800,.112005300
,40.395824400,.372524200,39.483978300,.323764400,
,39.935588500,.351289800,40.127131700,.323579000,
1.907666200,39.352112700,.356985700,39.003405700,3.590157200,.110366400
,39.823225600,.345887100,39.097863900,.328339300,
,39.915549500,.341539200,39.349578000,.320187600,
011-MONGO-setup.csv,012-MONGO-multi-reads.csv,013-MONGO-single-bulk-read.csv,014-MONGO-multi-discount-update.csv,015-MONGO-search-discounted.csv,016-MONGO-teardown.csv
2.098860300,42.459963800,.385152700,42.673765500,3.875820000,.120163600
2.784348800,43.941008300,.429872200,41.673216100,.347979600,.108295400
1.886395300,44.756109300,.393643200,41.977944000,.340155600,.105890100
1.951411900,42.189261800,.366316100,41.912707500,3.562645300,.110542900
2.083285000,42.487035200,.361904900,41.102642400,.327423600,.126120200
,41.809985100,.367064900,38.872173800,.330708000,
,39.063086300,.338302700,39.060837900,3.524534000,
,38.875145300,.336581300,39.096513300,.326984500,
,38.977911500,.333277500,38.267862000,.328127800,
,39.534587600,.350589400,38.575067600,3.557771100,
,39.509662300,.346102800,38.621902300,.315603300,
,39.095998500,.345911300,38.565624500,.317362400,
,42.367086700,.407476800,43.169957600,3.924842100,
,43.395690700,.413370500,42.171588900,.340711800,
,43.654281700,.405393500,41.376958500,.345435500,
011-MONGO-setup.csv,012-MONGO-multi-reads.csv,013-MONGO-single-bulk-read.csv,014-MONGO-multi-discount-update.csv,015-MONGO-search-discounted.csv,016-MONGO-teardown.csv
1.914478200,40.288352000,.336030100,38.667968600,3.527694300,.108123700
1.894425800,39.798204200,.333337400,38.764454500,.333035600,.110181100
1.886398500,38.997525400,.337284000,38.206278500,.326770500,.107425400
1.994279500,38.750162800,.346981800,38.500090900,3.519398000,.107831800
1.990220600,38.960624800,.345636400,38.708074400,.308812500,.123667100
2.391388600,39.046513900,.357433500,38.923526100,.311377700,.119740900
2.410620700,39.503351000,.350757500,38.653981100,3.521783900,.107401400
1.802617600,38.903974900,.347538700,38.545095400,.317544600,.106898100
1.803079400,39.132141300,.351761700,38.479559300,.319029500,.106091300
1.789886100,39.219967500,.342806000,38.675364900,3.582149600,.105065700
,39.301319600,.355214100,38.700598900,.315216300,
,39.093188700,.341956000,38.751047200,.314460900,
,39.378162100,.339562600,38.967816800,3.901807400,
,38.956956100,.340316400,38.726973300,.340662500,
,39.712841600,.334291500,41.294565300,.341458200,
,42.078307800,.364635900,41.917067700,3.805875900,
,42.461449200,.368760300,42.262886900,.345958500,
,42.169388700,.376033400,41.942575900,.343089200,
,42.635804800,.333684900,38.097049100,3.474022700,
,40.532522400,.335971100,38.340433400,.318408600,
,38.766441600,.336244800,38.255983300,.316395800,
,38.547500100,.337179900,37.873123400,3.555636100,
,37.627383000,.334944800,37.419943100,.301451000,
,37.806164700,.338189400,37.989251400,.299925100,
,38.533391200,.341667500,37.850903400,3.465921400,
,37.798034100,.330608600,37.332836700,.319489600,
,37.548091200,.327574100,37.523830500,.314818100,
,37.721685700,.331491000,37.504305600,3.426935600,
,38.391531400,.328574900,37.549790900,.304894500,
,38.182957700,.330222500,37.828573700,.303671800,
011-MONGO-setup.csv,012-MONGO-multi-reads.csv,013-MONGO-single-bulk-read.csv,014-MONGO-multi-discount-update.csv,015-MONGO-search-discounted.csv,016-MONGO-teardown.csv
1.894584800,38.789111000,.353794900,39.372764600,3.727956600,.116811100
2.428124500,39.742293000,.350239600,38.523281800,.339217300,.121881800
2.422824100,39.968381800,.358075200,40.626019600,.339867700,.121025500
2.076458600,44.159107900,.384548800,43.004808100,3.898167400,.108285900
1.983915000,43.351577400,.386308900,43.412731400,.351571500,.107821000
1.921482500,43.763091700,.398184400,42.854761400,.350342000,.111097600
1.986654800,42.909039600,.386611500,42.532239100,3.919542600,.108034400
1.908356900,43.316315100,.394434700,42.998883900,.341052300,.109719900
1.971739600,43.814692000,.388143500,42.941153800,.338742400,.111805000
1.966087300,39.718074300,.334280600,39.101188500,3.527400500,.112106700
,39.344753600,.334845800,38.731383800,.312042100,
,39.345770700,.343716700,39.119671500,.323870800,
,39.687982000,.350313900,38.750850000,3.533093100,
,39.270362600,.344774100,38.845637700,.318586000,
,39.241441800,.346996700,38.838965000,.312881300,
,39.234319100,.348954000,38.873528300,3.581583200,
,39.231757900,.351988900,38.819605500,.312335800,
,38.964168300,.339808800,38.754687100,.315706800,
,39.479908800,.347988500,38.647564900,3.534572400,
,39.084382900,.340692300,38.937633900,.319723900,
,39.445283100,.348349000,38.696313900,.316330000,
,39.015793800,.336458300,38.722638700,3.540137600,
,39.391643900,.335957100,38.859735300,.320141800,
,39.056720400,.344330200,38.767422400,.319077000,
,39.668384000,.347120200,38.910238800,3.512290600,
,39.007974700,.341338000,38.657823300,.315169400,
,39.004951400,.342559900,38.955221900,.318530600,
,39.266369600,.348303600,38.991133500,3.550106600,
,39.187643600,.344435300,38.799371100,.312211800,
,38.929308700,.349673900,38.971337600,.312217700,
