021-MYSQL-setup.csv,022-MYSQL-multi-reads.csv,023-MYSQL-single-bulk-read.csv,024-MYSQL-multi-discount-update.csv,025-MYSQL-search-discounted.csv,026-MYSQL-teardown.csv
20.144311500,10.274025600,.046379300,13.807308500,.040862200,.139254400
20.862736800,10.514416200,.046229600,10.443689800,.042163000,.120272400
,10.588474600,.041020200,12.308313400,.042456500,
,10.392753500,.040565000,10.260162000,.040872700,
21.183573300,10.695481800,.042250300,12.615327500,.043576100,.125931500
,10.529151800,.042793400,10.636364400,.043390500,
,10.357640800,.041508700,10.969972300,.042611900,
25.406434500,11.421890200,.047707900,13.377794500,.042189100,.158172600
,11.202610000,.044764000,10.259870000,.041770800,
,11.237196900,.045152100,10.201373600,.042386300,
021-MYSQL-setup.csv,022-MYSQL-multi-reads.csv,023-MYSQL-single-bulk-read.csv,024-MYSQL-multi-discount-update.csv,025-MYSQL-search-discounted.csv,026-MYSQL-teardown.csv
22.533753600,11.265284700,.048041400,13.640147100,.046696400,.134470700
19.925777000,11.493326400,.045998600,11.506184500,.045095400,.122646800
20.059426800,11.267495400,.044804500,11.289459800,.044933700,.120722300
20.448576600,10.369648100,.043019200,12.214663700,.039607600,.168989700
22.605294100,10.285441700,.041871000,10.192218900,.039381100,.135892700
,10.218623100,.040492900,10.137024600,.040188000,
,10.245660900,.041463100,12.726487500,.043102900,
,10.250703200,.040406600,10.661847200,.041265900,
,10.377944100,.039765000,10.905277500,.041595100,
,10.761395700,.042771900,13.060900100,.042081600,
,10.671528900,.042016700,10.893871500,.045927500,
,10.499262100,.046067700,10.839685300,.043932800,
,11.526930200,.046227800,14.235758000,.047717000,
,11.442222900,.049875300,11.914276700,.045009600,
,11.591941100,.046757500,12.029837500,.047650200,
021-MYSQL-setup.csv,022-MYSQL-multi-reads.csv,023-MYSQL-single-bulk-read.csv,024-MYSQL-multi-discount-update.csv,025-MYSQL-search-discounted.csv,026-MYSQL-teardown.csv
20.165759300,10.308801500,.043737300,12.529153200,.039789800,.116914700
20.559607500,10.279534300,.041039300,10.647678400,.039184400,.119521100
20.163144800,10.194653400,.040471000,10.592254300,.039457300,.126108100
20.186375700,10.375288500,.040708700,12.423433700,.040383800,.117499900
22.878041200,10.331485400,.040921700,10.442228400,.040482600,.134141900
22.586314600,10.440108600,.041452800,10.483639400,.040178600,.135023900
19.888320900,10.430561600,.041913800,12.469636300,.040948200,.118326600
19.546608700,10.370120100,.041363000,10.379909700,.040185700,.121236200
19.933428200,10.374381400,.042257200,10.657106300,.039657400,.115197800
19.857559700,10.528505100,.041896200,12.614043700,.040654500,.117295300
,10.384392300,.040807700,10.353784800,.044285800,
,10.432000600,.041685800,10.392711500,.040660100,
,11.826275900,.046338600,13.859358900,.047722800,
,11.728998300,.044622700,11.601099300,.044069100,
,11.520462800,.046857900,11.739503400,.043643600,
,11.591927600,.046651400,13.995273200,.044242200,
